#label	config	J	energy (lit)
82	5d$^{8}$($^3$P)$6s$$6p$ $^1$D$^{\circ}$	2	119891.663
84	"5d$^9$$7p$ (5/2,1/2)$^{\circ}$"	3	120257.12
83	"5d$^9$$6d$ (5/2,5/2)"	0	120269.507
86	"5d$^9$$7s$ (3/2,1/2)"	1	120822.927
87	5d$^{8}$($^1$G)$6s$$6p$ $^3$F$^{\circ}$	2	120951.33
88	"5d$^9$$7s$ (3/2,1/2)"	2	121118.779
90	5d$^{8}$$6s$$6p$ 11$^{\circ}$	1	121862.08
91	5d$^{8}$$6s$$6p$ 16$^{\circ}$	2	121870.4
92	"5d$^9$$7p$ (5/2,3/2)$^{\circ}$"	4	122656.186
93	5d$^{8}$$6s$$6p$ 17$^{\circ}$	2	122814.46
95	5d$^{8}$($^1$G)$6s$$6p$ $^3$G$^{\circ}$	4	123062.903
96	"5d$^9$$7p$ (5/2,3/2)$^{\circ}$"	3	123344.76
89	"5d$^9$$7p$ (5/2,3/2)$^{\circ}$"	2	123605.665
97	"5d$^9$$7p$ (5/2,3/2)$^{\circ}$"	2	123605.665
98	5d$^{8}$$6s$$6p$ 16$^{\circ}$	3	124012.181
99	5d$^{8}$($^1$D)$6s$$6p$ $^3$D$^{\circ}$	2	125103.78
100	5d$^{8}$$6s$$6p$ 12$^{\circ}$	1	125156.47
101	5d$^{8}$$6s$$6p$ 17$^{\circ}$	3	125241.2
102	5d$^7$($^4$F)$6s$$^2$$6p$ $^5$D$^{\circ}$	4	126661.797
103	5d$^{8}$$6s$$6p$ 13$^{\circ}$	1	127567.36
104	5d$^{8}$$6s$$6p$ 19$^{\circ}$	2	128001.87
105	5d$^{8}$$6s$$6p$ 14$^{\circ}$	1	128146.04
106	5d$^{8}$$6s$$6p$ 18$^{\circ}$	3	128317.31
107	"5d$^9$$6d$ (3/2,3/2)"	1	129287.875
108	"5d$^9$$6d$ (3/2,3/2)"	3	129560.535
109	"5d$^9$$6d$ (3/2,5/2)"	1	129918.201
110	"5d$^9$$6d$ (3/2,5/2)"	4	130198.661
111	"5d$^9$$6d$ (3/2,3/2)"	2	130266.093
112	5d$^{8}$$6s$$6p$ 20$^{\circ}$	2	130388.827
113	"5d$^9$$6d$ (3/2,5/2)"	2	130464.446
114	"5d$^9$$6d$ (3/2,5/2)"	3	130749.252
115	"5d$^9$$6d$ (3/2,3/2)"	0	131563.734
116	5d$^8$($^1$G)$6s$$6p$ $^1$F$^{\circ}$	3	132009.57
117	5d$^{8}$$6s$$6p$ 15$^{\circ}$	1	132510.916
118	"5d$^9$$7p$ (3/2,1/2)$^{\circ}$"""	2	132923.53
119	"5d$^9$$7p$ (3/2,1/2)$^{\circ}$"""	1	133344.72
120	"5d$^9$$8s$ (5/2,1/2)"	3	133490.3
121	"5d$^9$$8s$ (5/2,1/2)"	2	133663.792
122	"5d$^9$$7p$ (3/2,3/2)$^{\circ}$"	2	135993.766
